,NewsContent,author,publishedDate,title
21,"Top Technology Stocks: MSFT: -0.14% AAPL: -0.23% IBM: +0.10% CSCO: -0.18% GOOG: Flat Pre-Market Thursday saw declining technology giants. Early movers include: (-) Atlassian ( TEAM  ), which was down more than 9% as i t report  ed fiscal Q3 earnings of $0.21 on a non-IFRS per share basis, up from $0.09 a year ago and ahead of the consensus on Capital IQ for $0.18 a share. (-) Check Point Software Technologies ( CHKP  ) was more than 6% lower as it booked Q1 adjusted profit of $1.32 per share, up from $1.30 per share in the prior-year period and a penny a share higher than the $1.31 per share Street estimate provided by Capital IQ. In other sector news: (-) Taiwan Semiconductor ( TSM  ) was marginally retreating after it reported Q1 diluted earnings of TWD2.37 ($0.38) per ADR unit compared with TWD3.46 per ADR unit in the same quarter last year. Analysts polled by Capital IQ were expecting earnings of TWD2.44 per ADR unit.",MT Newswires,"April 18, 2019, 09:00:06 AM EDT","Technology Sector Update for 04/18/2019: TEAM, CHKP, TSM, MSFT, AAPL, IBM, CSCO, GOOG"
22,"iStock The electric bus revolution is about to take off. While the prospect of major advances in electric buses receive a small fraction of the attention that electric vehicles receive, the potential for a major transformation is arguably much closer. As with EVs, electric buses promise lower life-cycle costs when compared to their gasoline and diesel counterparts, but upfront costs remain painfully high. However, Proterra, an electric bus manufacturer, is rolling out leasing plans that could eliminate this barrier. Proterra and Mitsui & Co. are teaming up to lease the batteries in electric buses so that the upfront costs of an electric bus reaches parity with a traditional diesel bus. In other words, no upfront cost for the battery, just monthly lease payments over the lifespan of the vehicle. The monthly payments would be offset by the fuel savings. It is the same approach that solar developers began using years ago: no upfront cost, just lease payments over time. A 2018 analysis from Bloomberg New Energy Finance (BNEF) predicted that while EVs would capture nearly a third of the total auto market by the 2030 – a bold prediction, to be sure – electric buses would gain acceptance must faster. By 2030, electric buses overwhelm the bus market, taking 84 percent of total sales. In one scenario, BNEF sees electric buses reaching upfront cost parity with conventional buses on an unsubsidized basis by the mid-2020s. The CEO of Proterra told Axios in a March interview that he doesn’t actually see electric buses ever reaching cost parity with diesel buses, but not for the reasons one might think. “I don’t think we’ll ever get all the way there, because I actually think that once we’re within a 2-year fuel payback, the diesel bus market goes extinct,” Proterra’s chief executive Ryan Popple said. Still, the steeper upfront cost today is one of the largest hurdles. Mitsui has agreed to provide a $200 million credit facility to help launch Proterra’s battery leasing program. A new diesel bus can cost about $500,000 while also incurring around $1 million in maintenance and fuel costs over its lifetime, according to Proterra’s Ryan Popple and Greentech Media. In contrast, one of Proterra’s electric buses costs $750,000 upfront, but will have maintenance costs that are 20 percent lower than a diesel bus. By adding in a lease for the battery, the electric bus can make sense right away, rather than having a long payback period. “On a percent basis, it takes the upfront premium for an electric bus from 50 percent to zero,” Popple told Greentech Media. “You eliminate $250,000 of capital acquisition premium that you traditionally paid to invest in a higher-efficiency electric bus.” Electric buses may have an easier time gaining traction than passenger EVs for several reasons. They drive longer distances, which means the fuel savings add up over a shorter period of time. They cover predictable routes, making it easier to locate and build recharging infrastructure. Perhaps most importantly, the customers tend to be municipalities or corporations, rather than individuals. These entities can take a long-term view, and make practical decisions around life-cycle costs. China accounts for the vast majority of electric buses on the roads worldwide. The U.S. market is still small, although growing quickly. As of 2017, fewer than 500 electric buses were sold in the U.S. But Proterra told Greentech Media that demand is strong and it already has 45 new orders this year, including from repeat customers. Portland, Oregon, just deployed its first electric bus this week, a bus manufactured by Winnipeg-based New Flyer. Portland has plan to switch its nearly 700-bus fleet from diesel to electric by 2040. More and more cities are opting to do the same. The impact on the oil market could be more profound from buses than from EVs, at least in the short- and medium-term. According to BNEF, electric buses (again, mostly in China) will displace about 270,000 barrels of diesel demand per day in 2019, while EVs will only displace a little more than 80,000 bpd of gasoline and diesel demand. Elon Musk and Tesla tend to soak up an inordinate share of media attention when it comes to electrifying the transportation sector, but e-buses are having a larger impact. By Nick Cunningham of Oilprice.com",Oilprice.com,"April 18, 2019, 08:31:25 AM EDT",The Genius Solution To The Electric Bus Problem
23,"Top Tech Stocks MSFT +0.66% AAPL +1.99% IBM -4.15% CSCO -1.04% GOOG +0.67% Technology stocks still were rising in recent trading, with the shares of tech stocks in the S&P 500 adding over 0.5% in value while the Philadelphia Semiconductor Index was rising almost 1.5%. Among technology stocks moving on news: (+) Microvision ( MVIS  ) slid 14% on Wednesday after the electronic components company was selling nearly 1.02 million shares of its common stock to the Lincoln Park Capital Fund at 98.21 cents apiece, generating $1 million in gross proceeds and representing a 17.4% discount to Tuesday's closing price. Under terms of the stock purchase agreement, the investment fund can buy up to $10 million more of the company's stock over the next two years at the prevailing market price. In other sector news: (+) Qualcomm ( QCOM  ) rose 12% on Wednesday, continuing its big Tuesday advance, after the chipmaker and Apple ( AAPL  ) agreed to drop all litigation between the companies all over the world. The settlement also included an undisclosed payment by Apple to Qualcomm. (+) Ericsson ( ERIC  ) climbed 7% after announcing a multi-year strategic partnership with Future Technologies Venture LLC, which is expected to extend its reach into key market verticals - including utilities, oil and gas, mining and government - that Future Technologies serves. The company also reported non-IFRS Q1 net income of SEK0.80 per share, up from SEK0.11 per share last year and beating the Capital IQ consensus expecting SEK0.64 per share. (-) Paycom Software ( PAYC  ) was fractionally lower after KeyBanc raised its price target on the company's stock by $28 to $210 and reiterated its outperform rating.",MT Newswires,"April 17, 2019, 03:59:58 PM EDT","Technology Sector Update for 04/17/2019: MVIS,QCOM,AAPL,ERIC,PAYC"
24,"Top Tech Stocks MSFT +0.64% AAPL +1.95% IBM -3.97% CSCO -0.62% GOOG +0.86% Technology stocks were higher in recent trading, with the shares of tech companies in the S&P 500 adding 0.6% in value while the Philadelphia Semiconductor Index was rising 1.5%. Among technology stocks moving on news: (+) Ericsson ( ERIC  ) climbed almost 6% after announcing a multi-year strategic partnership with Future Technologies Venture LLC, which is expected to extend its reach into key market verticals - including utilities, oil and gas, mining and government - that Future Technologies serves. The company also reported non-IFRS Q1 net income of SEK0.80 per share, up from SEK0.11 per share last year and beating the Capital IQ consensus expecting SEK0.64 per share. In other sector news: (+) Qualcomm ( QCOM  ) rose 11% on Wednesday, continuing its big Tuesday advance, after the chipmaker and Apple ( AAPL  ) agreed to drop all litigation between the companies all over the world. The settlement also included an undisclosed payment by Apple to Qualcomm. (-) Paycom Software ( PAYC  ) was fractionally lower after KeyBanc raised its price target on the company's stock by $28 to $210 and reiterated its outperform rating.",MT Newswires,"April 17, 2019, 01:55:53 PM EDT","Technology Sector Update for 04/17/2019: ERIC,QCOM,AAPL,PAYC"
25," InvestorPlace - Stock Market News, Stock Advice & Trading Tips Leading the Apple  (NASDAQ: AAPL ) rumor mill today is news of when the first 5G iPhone will come out. Today, we'll look at that and other Apple Rumors for Wednesday. 5G iPhone : Apple is reportedly going to release its first 5G iPhone in 2020 , reports BGR . This rumor claims that the tech company is going to be able to do this thanks to its recent deal with Qualcomm (NASDAQ: QCOM ). This is good news for iPhone users as AAPL previously wasn't expected to have a 5G iPhone ready until 2021. However, this also means a 5G iPhone coming out in 2019 is incredibly unlikely. New iPhone 8 : A recent rumor claims that Apple is going to be releasing a new version of the iPhone 8 , MacRumors notes. According to this rumor, the tech company will be releasing an updated version of the iPhone 8 next year. This device will be sporting some revisions and will have a 4.7-inch screen. The rumor claims that the tech company is doing this to expand is offerings in the mid-tier smartphone category. Find App : AAPL may be working on a new app to better help with tracking , reports AppleInsider . This rumor says that the tech company is making an app that will combine Find My Friends and Find My iPhone. This will let users make use of these functions from just one app. It also notes that the app will also be able to help users find other items as well. However, these items must first have a tag for tracking location on them to work with the app. The post Wednesday Apple Rumors: AAPL May Release First 5G iPhone in 2020 appeared first on InvestorPlace . ",InvestorPlace Media,"April 17, 2019, 01:54:34 PM EDT",Wednesday Apple Rumors: AAPL May Release First 5G iPhone in 2020
26,"Facebook just announced a major addition to the line-up for   its   Oculus Quest    VR headset: Google is bringing its   Tilt   Brush    virtual reality    (VR) drawing app to the standalone headset, which is widely   expected to become commercially available in the coming   weeks. ""When we learned that   Oculus    was building a cord-free standalone headset, we knew we had to   bring Tilt Brush to Quest,"" said Google product manager Elisabeth   Morant in an interview   published by Facebook Wednesday    . ""This new form factor will unlock completely new opportunities   for our artists to create."" Tilt Brush has been one of the most popular VR apps on a   number of headsets ever since it was first released on the HTC   Vive back in 2016. Initially developed by a startup, Tilt Brush   was acquired by Google in 2015. The app made its way to   Facebook's Oculus Rift in 2017.makeArticleAd(); The Quest will be the first mobile standalone headset to run   Tilt Brush, and porting it to the less powerful device came with   some challenges, according to Morant. ""Most of our work porting   Tilt Brush to Quest focused on performance improvements."" However, the final result won't be all that different from   Tilt Brush on PC-based headsets, she said: ""Tilt Brush on Quest   should look and feel pretty much the same as the Rift version,   with a few small tweaks."" In addition to Tilt Brush, Facebook has been able to secure a   number of other popular VR apps for the Quest. These include Beat   Saber, Superhot, Dead and Buried II, Dance Central and more.  Related stories  Watch the Trailer for Felix & Paul       Studios' Scary New VR Film 'Gymnasia' (EXCLUSIVE)   PBS POV Spark Announces Immersive Films,       Instagram Stories Facebook just announced a major addition to the line-up for   its   Oculus Quest    VR headset: Google is bringing its   Tilt   Brush    virtual reality    (VR) drawing app to the standalone headset, which is widely   expected to become commercially available in the coming   weeks. ""When we learned that   Oculus    was building a cord-free standalone headset, we knew we had to   bring Tilt Brush to Quest,"" said Google product manager Elisabeth   Morant in an interview   published by Facebook Wednesday    . ""This new form factor will unlock completely new opportunities   for our artists to create."" Tilt Brush has been one of the most popular VR apps on a   number of headsets ever since it was first released on the HTC   Vive back in 2016. Initially developed by a startup, Tilt Brush   was acquired by Google in 2015. The app made its way to   Facebook's Oculus Rift in 2017. The Quest will be the first mobile standalone headset to run   Tilt Brush, and porting it to the less powerful device came with   some challenges, according to Morant. ""Most of our work porting   Tilt Brush to Quest focused on performance improvements."" However, the final result won't be all that different from   Tilt Brush on PC-based headsets, she said: ""Tilt Brush on Quest   should look and feel pretty much the same as the Rift version,   with a few small tweaks."" In addition to Tilt Brush, Facebook has been able to secure a   number of other popular VR apps for the Quest. These include Beat   Saber, Superhot, Dead and Buried II, Dance Central and more. Related stories  Watch the Trailer for Felix & Paul       Studios' Scary New VR Film 'Gymnasia' (EXCLUSIVE)   PBS POV Spark Announces Immersive Films,       Instagram Stories Related stories Watch the Trailer for Felix & Paul       Studios' Scary New VR Film 'Gymnasia' (EXCLUSIVE) PBS POV Spark Announces Immersive Films,       Instagram Stories",Variety,"April 17, 2019, 12:27:02 PM EDT",Tilt Brush Is Coming to the Oculus Quest VR Headset
27,"The Emmy award-winning VR filmmakers from   Felix   & Paul    Studios have teamed up with the National Film Board of Canada   (NFB) for a new VR film dubbed ""Gymnasia"" that is set to premiere   at the      Tribeca    Film Festival later this month - and judging from the trailer   that the studio exclusively shared with   Variety    , it's going to be scary… ""Gymnasia"" is a 6-minute VR experience that is said to blend   3D 360-degree video, stop motion, miniatures and   computer-generated graphics. It invites viewers into an abandoned   school, full of spooky memories of childhoods' past. The piece has been produced by Stéphane Rituit (   Felix & Paul    Studios) and Dana Dansereau (NFB) and directed by the   award-winning duo Chris Lavis and Maciek Szczerbowski (Clyde   Henry Productions). The soundtrack comes from the Montreal-based   musician Patrick Watson, and the sound design was done at   Headspace Studios.makeArticleAd(); ""We are honored to once again premiere our work and be part of   the official selection at this year's   Tribeca    Film Festival,"" said Felix & Paul Studios co-founder and   creative director Paul Raphaël. ""We collaborated with Chris,   Maciek and Patrick on our very first VR experience, 'Strangers'   with Patrick Watson, so it was both fascinating and rewarding to   see how much the medium has evolved in the short five years since   our studio produced that inaugural VR piece."" ""Partnering to create new and innovative experiences is part   of NFB's DNA. Working with Clyde Henry and Felix & Paul   Studios on this technical feat and genre pushing experience has   been hard work but also a pure joy,"" said NFB digital studio   producer Dana Dansereau. ""Stop motion animation in VR is in its   early days and it took the extreme talents of these three groups   to pull off such a successful project. We are proud and excited   to launch 'Gymnasia' at Tribeca Immersive 2019."" ""Gymnasia"" will will be available for download on the Oculus   Store on April 26. At Tribeca, it will be exhibited with a   location-based experience that includes life-sized puppets, and   combines immersive theater with a more traditional VR viewing   experience. The film will be part of Tribeca's Immersive program,   which will also   include more than 30 other VR and AR   experiences    , including the world premiere of the first ""Doctor Who"" VR   experience.  Related stories  PBS POV Spark Announces Immersive Films,       Instagram Stories   Location-Based VR Startup The Void to Open       San Francisco Outpost The Emmy award-winning VR filmmakers from   Felix   & Paul    Studios have teamed up with the National Film Board of Canada   (NFB) for a new VR film dubbed ""Gymnasia"" that is set to premiere   at the      Tribeca    Film Festival later this month - and judging from the trailer   that the studio exclusively shared with   Variety    , it's going to be scary… ""Gymnasia"" is a 6-minute VR experience that is said to blend   3D 360-degree video, stop motion, miniatures and   computer-generated graphics. It invites viewers into an abandoned   school, full of spooky memories of childhoods' past. The piece has been produced by Stéphane Rituit (   Felix & Paul    Studios) and Dana Dansereau (NFB) and directed by the   award-winning duo Chris Lavis and Maciek Szczerbowski (Clyde   Henry Productions). The soundtrack comes from the Montreal-based   musician Patrick Watson, and the sound design was done at   Headspace Studios. ""We are honored to once again premiere our work and be part of   the official selection at this year's   Tribeca    Film Festival,"" said Felix & Paul Studios co-founder and   creative director Paul Raphaël. ""We collaborated with Chris,   Maciek and Patrick on our very first VR experience, 'Strangers'   with Patrick Watson, so it was both fascinating and rewarding to   see how much the medium has evolved in the short five years since   our studio produced that inaugural VR piece."" ""Partnering to create new and innovative experiences is part   of NFB's DNA. Working with Clyde Henry and Felix & Paul   Studios on this technical feat and genre pushing experience has   been hard work but also a pure joy,"" said NFB digital studio   producer Dana Dansereau. ""Stop motion animation in VR is in its   early days and it took the extreme talents of these three groups   to pull off such a successful project. We are proud and excited   to launch 'Gymnasia' at Tribeca Immersive 2019."" ""Gymnasia"" will will be available for download on the Oculus   Store on April 26. At Tribeca, it will be exhibited with a   location-based experience that includes life-sized puppets, and   combines immersive theater with a more traditional VR viewing   experience. The film will be part of Tribeca's Immersive program,   which will also   include more than 30 other VR and AR   experiences    , including the world premiere of the first ""Doctor Who"" VR   experience. Related stories  PBS POV Spark Announces Immersive Films,       Instagram Stories   Location-Based VR Startup The Void to Open       San Francisco Outpost Related stories PBS POV Spark Announces Immersive Films,       Instagram Stories Location-Based VR Startup The Void to Open       San Francisco Outpost",Variety,"April 17, 2019, 10:00:53 AM EDT",Watch the Trailer for Felix & Paul Studios’ Scary New VR Film ‘Gymnasia’ (EXCLUSIVE)
28,"Top Technology Stocks: MSFT: +0.02% AAPL: +0.45% IBM: -2.94% CSCO: +0.26% GOOG: +0.26% Most top technology stocks were rallying in pre-bell Wednesday trading. Stocks moving on news include: (+) DPW Holdings ( DPW  ), which was surging more than 44% as i t report  ed a 2018 net loss of $11.15 per share, compared with a net loss of $18.05 per share in the prior year period. (+) Qualcomm ( QCOM  ) was gaining more than 12% in value after the company and Apple ( AAPL  ) agreed to drop all litigation between the companies all over the world, in a settlement that includes a payment to be made from Apple to Qualcomm. (+) Ericsson ( ERIC  ) was up more than 3% as it booked non-IFRS diluted EPS of SEK0.80 ($0.08) for Q1, exceeding last year's SEK0.11 and the Capital IQ consensus of SEK0.64.",MT Newswires,"April 17, 2019, 09:00:21 AM EDT","Technology Sector Update for 04/17/2019: DPW, QCOM, AAPL, ERIC, MSFT, IBM, CSCO, GOOG"
29,"Netflix    is getting ready to reveal even more data about the performance   of movies and TV shows on its service. The company will begin to   test Top 10 lists of the most popular content across multiple   categories in the U.K. this quarter, executives revealed in their   letter to shareholders    on Tuesday. The test is part of an effort to become more   transparent with the company's audience as well as producers   about viewing trends. ""For those who want to watch what others are watching, this   may make choosing titles even easier,"" they explained in the   shareholder letter. ""After a few months we'll decide whether to   end or expand the test.""  Netflix    chief product officer Greg Peters said during the company's       earnings call    Tuesday afternoon that the test was one of hundreds the company   was doing per quarter, adding on an upbeat note: ""We are quite   bullish on that, and we'll see how it does.""makeArticleAd(); Netflix announced this new test as part of its earnings   release for Q1 of 2019. During the quarter, the   company added 9.6 million new subscribers    - more than ever before. Investors nonetheless sent the company's   stock price down due to a weaker-than-anticipated Q2   forecast. Executives also used the shareholder letter to once again   selectively highlight the performance of some of its biggest   titles. ""   The Umbrella Academy    ,"" which premiered on Netflix on Feb. 15, has been watched by 45   million member households in the first four weeks following its   release; ""      Triple Frontier    ,"" a movie starring Ben Affleck that went live on Netflix on   March 13, has been watched by over 52 million member households   in its first four weeks on the service. ""The Highwaymen,"" which stars Kevin Costner and Woody   Harrelson, is on track to being watched by over 40 million member   households in its first month, according to Netflix. The   company's Fyre Festival doc has been viewed by more than 20   million households in its first month, and the nature documentary   series ""Our Planet"" is on track to attract over 25 million viewer   households in its first month, Netflix said. Netflix's selective release of these data points, as well as   its test of viewer charts, stands in stark contrast to the   company's aversion to data sharing in the past. Up until   recently, Netflix executives regularly argued that they didn't   need to share any viewership data with anyone, simply because   Netflix was not an ad-supported service that relied on ratings to   attract brands. But on Tuesday, chief content officer Ted Sarandos said that   this was about to change. ""Over the next several months, we are   going to be rolling out more specific, granular reporting,""   Sarandos said. ""First to our producers, and then to our members,   and be more fully transparent about what people are watching on   Netflix around the world."" The new trend to selectively share data can be explained as a   way to assure investors that Netflix's originals strategy is   working, even as other studios are moving their franchises to   their own services. ""   The Umbrella Academy    ,"" for instance, has been touted as a way for Netflix to replace   its Marvel shows, many of which it canceled last year. Likewise,   sharing audience data for movies can be seen as a way to show the   markets that expensive tentpole titles can attract sizable   audiences. But with the introduction of Top 10 lists, Netflix is also   looking to further use the momentum of some of its   best-performing titles to keep its audience engaged, and help   them decide on what to watch next. That again is a bit of a   departure for the company, which has in the past relied on   hyper-personalized curation. For instance, Netflix is even   showing different preview images for the same movie to different   viewers to optimize their performance among distinct segments of   its audience. Sarandos used the company's earnings call Tuesday afternoon to   highlight another reason the company may be using Top 10 lists   going forward: As the company increases its investments in   originals, these success stories also become branding exercises.   "" Our top ten most-watched shows on Netflix, they're all Netflix   original brands,"" Sarandos said.  Related stories  Netflix Posts Record Subscriber Gain in Q1,       Weak Forecast Pushes Stock Down   Oprah Winfrey, Bruce Springsteen Headline       Netflix's Emmy 2019 for Your Consideration Space Netflix    is getting ready to reveal even more data about the performance   of movies and TV shows on its service. The company will begin to   test Top 10 lists of the most popular content across multiple   categories in the U.K. this quarter, executives revealed in their   letter to shareholders    on Tuesday. The test is part of an effort to become more   transparent with the company's audience as well as producers   about viewing trends. ""For those who want to watch what others are watching, this   may make choosing titles even easier,"" they explained in the   shareholder letter. ""After a few months we'll decide whether to   end or expand the test."" Netflix    chief product officer Greg Peters said during the company's       earnings call    Tuesday afternoon that the test was one of hundreds the company   was doing per quarter, adding on an upbeat note: ""We are quite   bullish on that, and we'll see how it does."" Netflix announced this new test as part of its earnings   release for Q1 of 2019. During the quarter, the   company added 9.6 million new subscribers    - more than ever before. Investors nonetheless sent the company's   stock price down due to a weaker-than-anticipated Q2   forecast. Executives also used the shareholder letter to once again   selectively highlight the performance of some of its biggest   titles. ""   The Umbrella Academy    ,"" which premiered on Netflix on Feb. 15, has been watched by 45   million member households in the first four weeks following its   release; ""      Triple Frontier    ,"" a movie starring Ben Affleck that went live on Netflix on   March 13, has been watched by over 52 million member households   in its first four weeks on the service. ""The Highwaymen,"" which stars Kevin Costner and Woody   Harrelson, is on track to being watched by over 40 million member   households in its first month, according to Netflix. The   company's Fyre Festival doc has been viewed by more than 20   million households in its first month, and the nature documentary   series ""Our Planet"" is on track to attract over 25 million viewer   households in its first month, Netflix said. Netflix's selective release of these data points, as well as   its test of viewer charts, stands in stark contrast to the   company's aversion to data sharing in the past. Up until   recently, Netflix executives regularly argued that they didn't   need to share any viewership data with anyone, simply because   Netflix was not an ad-supported service that relied on ratings to   attract brands. But on Tuesday, chief content officer Ted Sarandos said that   this was about to change. ""Over the next several months, we are   going to be rolling out more specific, granular reporting,""   Sarandos said. ""First to our producers, and then to our members,   and be more fully transparent about what people are watching on   Netflix around the world."" The new trend to selectively share data can be explained as a   way to assure investors that Netflix's originals strategy is   working, even as other studios are moving their franchises to   their own services. ""   The Umbrella Academy    ,"" for instance, has been touted as a way for Netflix to replace   its Marvel shows, many of which it canceled last year. Likewise,   sharing audience data for movies can be seen as a way to show the   markets that expensive tentpole titles can attract sizable   audiences. But with the introduction of Top 10 lists, Netflix is also   looking to further use the momentum of some of its   best-performing titles to keep its audience engaged, and help   them decide on what to watch next. That again is a bit of a   departure for the company, which has in the past relied on   hyper-personalized curation. For instance, Netflix is even   showing different preview images for the same movie to different   viewers to optimize their performance among distinct segments of   its audience. Sarandos used the company's earnings call Tuesday afternoon to   highlight another reason the company may be using Top 10 lists   going forward: As the company increases its investments in   originals, these success stories also become branding exercises.   "" Our top ten most-watched shows on Netflix, they're all Netflix   original brands,"" Sarandos said. Related stories  Netflix Posts Record Subscriber Gain in Q1,       Weak Forecast Pushes Stock Down   Oprah Winfrey, Bruce Springsteen Headline       Netflix's Emmy 2019 for Your Consideration Space Related stories Netflix Posts Record Subscriber Gain in Q1,       Weak Forecast Pushes Stock Down Oprah Winfrey, Bruce Springsteen Headline       Netflix's Emmy 2019 for Your Consideration Space",Variety,"April 16, 2019, 04:10:37 PM EDT",Netflix to Test Top 10 Lists of Most Popular Content
30,"Top Tech Stocks MSFT -0.37% AAPL +0.14% IBM +0.72% CSCO +0.57% GOOG +0.49% Technology stocks eased from their prior session highs Tuesday, with the shares of tech stocks in the S&P 500 adding nearly 0.4% in value shortly before Tuesday's closing bell while the Philadelphia Semiconductor Index was rising over 3.0% supported by Qualcomm ( QCOM  ) dropping all litigation and signing a licensing agreement with Apple ( AAPL  ). Among technology stocks moving on news: (+) Vuzix ( VUZI  ) was ahead over 5% late Tuesday after the maker of wearable display devices reported improving production yields and rates, adding it can now offer ""near-immediate"" delivery on new orders through its website. The company also is continuing to boost production levels and reducing costs over the rest of 2019, it said. In other sector news: (+) Western Digital ( WDC  ) rose 4% after a Deutsche Bank upgrade of the data storage company to buy to hold. The brokerage also increased its price on the company's stock by $15 to $60 a share. (+) Taiwan Semiconductor Manufacturing Co ( TSM  ) was fractionally higher after Tuesday introducing its next-generation, 6-nanometer process, marking a significant enhancement over its existing technology and fueling market speculation the process will be used in the next version of chips running Apple iPhones. Taiwan Semiconductor has been Apple's primary chip supplier for several years. (-) Electronic Arts (EA) fell 4% after rolling out an update to fix a security flaw with its Origin online gaming platform, TechCrunch reported Tuesday. The UK-based cybersecurity firm Underdog Security found that when the Origin app is installed on Windows it could be manipulated by an attacker and making it possible to steal a user's account access.",MT Newswires,"April 16, 2019, 03:43:47 PM EDT","Technology Sector Update for 04/16/2019: VUZI,QCOM,WDC,TSM,AAPL,EA"
31,"Apple    and      Qualcomm    have agreed to settle their long-running patent dispute, both   companies announced Tuesday. The agreement effectively ends all   lawsuits between the two companies;   Apple    will license   Qualcomm    's chips for 6 years, and also agree to pay a one-time   undisclosed payment for past use of Qualcomm's technology. News of the settlement came just as the case between the two   companies was heading before a jury San Diego, Calif. Qualcomm and Apple had been fighting in courts around the   world for years. Qualcomm, in essence, was arguing that Apple   wasn't compensating the company for the use of its intellectual   property; Apple on the other hand had been alleging that Qualcomm   was using invalid patents to demand royalty payments for the use   of wireless chipsets.makeArticleAd(); While these lawsuits never ended the business relationships   between the two companies, they did have some real impacts on   Apple's business. Late last year,   Apple had to update its phones in China to   prevent a sales ban    . Around the same time,   the company was forced to stop the sale of older   iPhones in Germany    . At the same time, Qualcomm was coming under pressure after   multiple courts sided with Apple;     a decision that would have invalidated Qualcomm's patents   could have resulted in a fatal blow for the company's chipset   licensing business. Investors sent Qualcomm's share price up more than 20% on the   news Tuesday, while Apple's stock stayed effectively flat.  Related stories  Apple Spending Over Half A Billion on New       Gaming Service (Report)   Apple Hires Molly Thompson as Head of       Documentaries Apple    and      Qualcomm    have agreed to settle their long-running patent dispute, both   companies announced Tuesday. The agreement effectively ends all   lawsuits between the two companies;   Apple    will license   Qualcomm    's chips for 6 years, and also agree to pay a one-time   undisclosed payment for past use of Qualcomm's technology. News of the settlement came just as the case between the two   companies was heading before a jury San Diego, Calif. Qualcomm and Apple had been fighting in courts around the   world for years. Qualcomm, in essence, was arguing that Apple   wasn't compensating the company for the use of its intellectual   property; Apple on the other hand had been alleging that Qualcomm   was using invalid patents to demand royalty payments for the use   of wireless chipsets. While these lawsuits never ended the business relationships   between the two companies, they did have some real impacts on   Apple's business. Late last year,   Apple had to update its phones in China to   prevent a sales ban    . Around the same time,   the company was forced to stop the sale of older   iPhones in Germany    . At the same time, Qualcomm was coming under pressure after   multiple courts sided with Apple;     a decision that would have invalidated Qualcomm's patents   could have resulted in a fatal blow for the company's chipset   licensing business. Investors sent Qualcomm's share price up more than 20% on the   news Tuesday, while Apple's stock stayed effectively flat. Related stories  Apple Spending Over Half A Billion on New       Gaming Service (Report)   Apple Hires Molly Thompson as Head of       Documentaries Related stories Apple Spending Over Half A Billion on New       Gaming Service (Report) Apple Hires Molly Thompson as Head of       Documentaries",Variety,"April 16, 2019, 03:23:34 PM EDT",Apple and Qualcomm Settle Long-Running Patent Dispute
32,"Top Tech Stocks MSFT +0.11% AAPL +0.32% IBM +0.80% CSCO +1.00% GOOG +0.56% Technology stocks were firming in recent trading, with the shares of tech stocks in the S&P 500 adding nearly 0.5% in value while the Philadelphia Semiconductor Index was rising almost 1.5%. Among technology stocks moving on news: (+) Taiwan Semiconductor Manufacturing Co ( TSM  ) was fractionally higher after Tuesday introducing its next-generation, 6-nanometer process, marking a significant enhancement over its existing technology and fueling market speculation the process will be used in the next version of chips running Apple ( AAPL  ) iPhones. Taiwan Semiconductor has been Apple's primary chip supplier for several years. In other sector news: (+) Western Digital ( WDC  ) rose 5% after a Deutsche Bank upgrade of the data storage company to buy to hold. The brokerage also increased its price on the company's stock by $15 to $60 a share. (-) Electronic Arts ( EA  ) fell nearly 5% after rolling out an update to fix a security flaw with its Origin online gaming platform, TechCrunch reported Tuesday. The UK-based cybersecurity firm Underdog Security found that when the Origin app is installed on Windows it could be manipulated by an attacker and making it possible to steal a user's account access.",MT Newswires,"April 16, 2019, 01:48:20 PM EDT","Technology Sector Update for 04/16/2019: TSM,AAPL,WDC,EA"
33," InvestorPlace - Stock Market News, Stock Advice & Trading Tips Leading the Apple  (NASDAQ: AAPL ) rumor mill today is news of a new iPhone coming this year. Today, we'll look at that and other Apple Rumors for Tuesday. iPhone XE : A recent rumor claims that Apple is planning to release a smartphone called the iPhone XE in 2019 , reports BGR . What exactly is the iPhone XE? The rumor says that this will be an updated version of the iPhone SE. If the rumor is true, it will be sporting a 4.8-inch OLED display, as well as an edge-to-edge screen. This rumor also claims that the smartphone will come out sometime before September. It may also costs anywhere between $600 and $800. 2018 MacBook Air : The 2018 MacBook Air just got an upgrade thanks to a software update , MacRumors notes. This upgrade comes after the release of macOS 10.14.4. It takes the display brightness for the laptop and upgrades it to 400 nits. The display brightness on the 2018 MacBook Air was previously at 300 nits before the macOS 10.14.4 update came out. Notre Dame : Apple is going to help with the rebuilding of the Notre-Dame de Paris, reports 9to5Mac . The tech company won't actually be getting hands-on with the rebuilding process. However, CEO Tim Cook says that it will be helping fund the reconstruction of the building. The building caught fire on Monday and suffered major damage to its roof. This includes the toppling of its iconic spire. The post Tuesday Apple Rumors: Apple May Release the iPhone XE This Year appeared first on InvestorPlace . ",InvestorPlace Media,"April 16, 2019, 01:39:44 PM EDT",Tuesday Apple Rumors: Apple May Release the iPhone XE This Year
